CourseName,CourseNumber,effort,totalhours,LengthClustering,remember,understand,apply,analyze,evaluate,create,BloomCustering,BloomCusteringName,Registered,Chapters,Videos,HTML,Problems,Discussions,NComCustering,NComName
General Physics I,ku002,9,45,Long,0,91.84,0,8.16,0,0,0,C_B1: Understanding,560,2.09,23.16,72.67,1.87,0.22,0,C_N1: HTML-focus
General Chemistry,ku003,8,45,Long,0,40.97,15.29,39.57,4.18,0,1,"C_B2: Understanding, Applying, and Analyzing",313,1.35,15.96,64.72,17.53,0.45,0,C_N1: HTML-focus
Product Design for Entrepreneur,stou007,2,10,Short,40,36.7,0,0,0,23.3,2,"C_B3: Remembering, Understanding, and Creating",639,12.94,42.35,30.59,11.76,2.35,1,C_N2: Video and HTML-focus
STEM Based Learning for Science,mu003,2,8,Short,12.5,50,22.88,8.38,0,6.25,1,"C_B2: Understanding, Applying, and Analyzing",294,7.1,43.23,19.35,17.42,12.9,2,C_N3: Video-focus
Fundamental of Computer Programming with Python Language,rmutt013,2,6,Short,0,100,0,0,0,0,0,C_B1: Understanding,701,7.97,11.59,71.01,5.07,4.35,0,C_N1: HTML-focus
MOS Certificate : MS PowerPoint 2013,pkru001,2,9,Short,0,33.33,33.33,33.33,0,0,1,"C_B2: Understanding, Applying, and Analyzing",282,11.6,34.25,46.41,6.63,1.1,1,C_N2: Video and HTML-focus
Infomation Litercy,nrru001,3,24,Medium,12.92,8.75,47.08,0,10.42,0,3,C_B4: Applying,672,9.84,72.95,3.28,13.93,0,2,C_N3: Video-focus
MOS Certificate : MS Word 2013,sct001,3,12,Short,0,20,60,20,0,0,3,C_B4: Applying,283,3.17,23.02,64.68,7.54,1.59,0,C_N1: HTML-focus
Technology and Innovation for Education,su006,8,15,Medium,0,80,0,0,0,0,0,C_B1: Understanding,776,4.05,2.25,84.68,2.7,6.31,0,C_N1: HTML-focus
Cloud Technology Tools for 21st Century Learning,swu003,1,6,Short,0,16.67,83.33,0,0,0,3,C_B4: Applying,311,13.7,26.03,45.21,9.59,5.48,1,C_N2: Video and HTML-focus
IT for the Present and Beyond,wu001,8,15,Medium,0,53.33,33.33,0,0,13.33,1,"C_B2: Understanding, Applying, and Analyzing",516,5.73,19.48,54.44,18.91,1.43,0,C_N1: HTML-focus
LaTeX program for academic documents,nu002,1,10,Short,0,1.7,54.15,0,0,44.16,3,C_B4: Applying,175,4.44,20.14,46.08,4.1,25.26,1,C_N2: Video and HTML-focus
Creative Ideas for Audio Design,rmutsb001,2,10,Short,20,20,10,20,10,20,2,"C_B3: Remembering, Understanding, and Creating",307,8.07,18.63,36.65,29.19,7.45,1,C_N2: Video and HTML-focus
Technology hardware and system software,hu003,1,5,Short,0,0,30,15,15,0,3,C_B4: Applying,478,6.77,12.03,75.19,5.26,0.75,0,C_N1: HTML-focus
Big Data Concept,stou005,2,10,Short,26.67,39.96,6.69,6.69,0,19.98,2,"C_B3: Remembering, Understanding, and Creating",962,10.83,33.33,46.67,8.33,0.83,1,C_N2: Video and HTML-focus
Digital Media Creation Technology,stou006,2,10,Short,0,80,0,0,0,20,0,C_B1: Understanding,743,5.91,24.73,62.37,5.91,1.08,0,C_N1: HTML-focus
Cybersecurity Awareness,bu001,1,6,Short,0,44.5,22.17,0,0,0,1,"C_B2: Understanding, Applying, and Analyzing",1246,20.45,43.18,6.82,27.27,2.27,2,C_N3: Video-focus
Computer for Speech and Presentations,kmitl003,1,6,Short,0,8.33,41.67,16.67,0,33.33,3,C_B4: Applying,709,11.01,27.52,49.54,7.34,4.59,1,C_N2: Video and HTML-focus
HTML & CSS,cu005,2,10,Short,0,80,10,0,0,10,0,C_B1: Understanding,1203,15.84,71.29,4.95,6.93,0.99,2,C_N3: Video-focus
MOS Certificate : MS Excel 2013,sru001,3,10,Short,0,25,50,25,0,0,3,C_B4: Applying,423,7.92,42.57,31.68,14.85,2.97,1,C_N2: Video and HTML-focus
The production of Liquid fuel from Plastic Waste,cu004,2,10,Short,0,60,0,0,0,0,0,C_B1: Understanding,237,19.23,55.77,15.38,7.69,1.92,2,C_N3: Video-focus
The production of solid fuel and activated carbon from agricultural waste,cu003,2,10,Short,0,50,0,50,0,0,1,"C_B2: Understanding, Applying, and Analyzing",229,20.31,51.56,21.88,4.69,1.56,2,C_N3: Video-focus
Reinforced concrete for earthquake disaster evaluation,mu006,3,10,Short,0,0,20,10,0,0,3,C_B4: Applying,134,11.69,41.56,1.3,41.56,3.9,2,C_N3: Video-focus
3D Model design & printing for community service,mu007,2,10,Short,25,20,15,0,0,40,2,"C_B3: Remembering, Understanding, and Creating",334,14.29,34.69,33.67,17.35,0,1,C_N2: Video and HTML-focus
Digital Circuit Design,mu005,2,8,Short,0,75,0,0,0,25,0,C_B1: Understanding,319,3.29,15.49,69.95,6.57,4.69,0,C_N1: HTML-focus
Mathematics for Computer,sut001,3,24,Medium,20,30,16.67,16.67,0,16.67,2,"C_B3: Remembering, Understanding, and Creating",516,6.32,55.26,12.11,24.74,1.58,2,C_N3: Video-focus
Mathematical Economics and Econometrics for Business,stou009,2,10,Short,0,70,30,0,0,0,0,C_B1: Understanding,370,16.9,39.44,26.76,14.08,2.82,1,C_N2: Video and HTML-focus
Learning Mathematics using STEM based approach,mu004,2,10,Short,10,40,20,15,0,15,1,"C_B2: Understanding, Applying, and Analyzing",227,9.79,31.47,42.66,13.99,2.1,1,C_N2: Video and HTML-focus