chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
แนะนำโครงการ Thai MOOC,1,1,"Name: Video แนะนำโครงการ Thai Mooc<br>
Video Length: 105 sec",Video แนะนำโครงการ Thai Mooc,105,2,1,แบบสำรวจก่อนเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),4,1,มาทำความรู้จักเพื่อนร่วมเรียนกัน,6,1,"Name: แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7,Numerical Input Problem,7,1
0: แนะนำวิชา,3,1,"Name: แนะนำรายวิชา ฟิสิกส์ทั่วไป I<br>
Video Length: 279 sec",แนะนำรายวิชา ฟิสิกส์ทั่วไป I,279,5,1,แนะนำรายวิชา ฟิสิกส์ทั่วไป I,5,1,"กิจกรรม: Discussion ""ทำไมไม่ตกที่เดียวกัน""",77,1,"Name: แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ),Numerical Input Problem,14,1
บทที่ 1: หลักการวัดและเลขนัยสำคัญ,9,1,"Name: แนะนำบทที่ 1<br>
Video Length: 468 sec",แนะนำบทที่ 1,468,10,1,แบบทดสอบความรู้เบื้องต้นก่อนเรียน บทที่ 1-7,7,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 2<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 2,Numerical Input Problem,39,1
บทที่ 2: เวกเตอร์และแคลคูลัสเบื้องต้น,16,1,"Name: การเปลี่ยนหน่วยกับเลขนัยสำคัญ<br>
Video Length: 538 sec",การเปลี่ยนหน่วยกับเลขนัยสำคัญ,538,11,1,เฉลยแบบทดสอบความรู้เบื้องต้นก่อนเริ่มเรียน บทที่ 1-7,8,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 3<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 3,Numerical Input Problem,53,1
บทที่ 3: การเคลื่อนที่ใน 1 มิติ,44,1,"Name: การบวก ลบ เลขนัยสำคัญ<br>
Video Length: 362 sec",การบวก ลบ เลขนัยสำคัญ,362,12,1,แบบฝึกหัดท้ายบทที่ 1 (หลักการวัดและเลขนัยสำคัญ),14,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 4<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 4,Numerical Input Problem,78,1
บทที่ 4: การเคลื่อนที่ในสองมิติ,56,1,"Name: การคูณ หาร เลขนัยสำคัญ<br>
Video Length: 198 sec",การคูณ หาร เลขนัยสำคัญ,198,13,1,เอกสารประกอบการเรียนบทที่ 1,15,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน),Numerical Input Problem,99,1
บทที่ 5: แรง และกฎการเคลื่อนที่ของนิวตัน,82,1,"Name: แนะนำบทที่ 2 และสัญลักษณ์แทนปริมาณเวกเตอร์<br>
Video Length: 430 sec",แนะนำบทที่ 2 และสัญลักษณ์แทนปริมาณเวกเตอร์,430,17,1,แบบฝึกหัดท้ายบทที่ 2,39,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน),Numerical Input Problem,118,1
บทที่ 6: งาน และพลังงาน,102,1,"Name: การบวก ลบ เวกเตอร์<br>
Video Length: 395 sec",การบวก ลบ เวกเตอร์,395,18,1,เฉลยแบบฝึกหัดท้ายบทที่ 2,40,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน),Numerical Input Problem,131,1
บทที่ 7: โมเมนตัมและ การชน,121,1,"Name: องค์ประกอบของเวกเตอร์<br>
Video Length: 489 sec",องค์ประกอบของเวกเตอร์,489,19,1,เอกสารประกอบการเรียน บทที่ 2-1,41,1,,,,"Name: แบบทดสอบความรู้หลังเรียน บทที่ 1-7<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้หลังเรียน บทที่ 1-7,Numerical Input Problem,135,1
แบบทดสอบความรู้หลังเรียน บทที่ 1-7,134,1,"Name: 2.4 การหาขนาดของเวกเตอร์ และการบวกลบเวกเตอร์โดยใช้องค์ประกอบของเวกเตอร์<br>
Video Length: 292 sec",2.4 การหาขนาดของเวกเตอร์ และการบวกลบเวกเตอร์โดยใช้องค์ประกอบของเวกเตอร์,292,20,1,เอกสารประกอบการเรียนบทที่ 2-2,42,1,,,,"Name: แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13<br>
Problem Type: Numerical Input Problem",แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13,Numerical Input Problem,138,1
แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13,137,1,"Name: ผลคูณเชิงสเกลาร์ (ตอนที่ 1)<br>
Video Length: 548 sec",ผลคูณเชิงสเกลาร์ (ตอนที่ 1),548,21,1,เอกสารประกอบการเรียนบทที่ 2-3,43,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 8 (วัตถุแข็งเกร็ง)<br>
Problem Type: Multiple Choice Problem",แบบฝึกหัดท้ายบทที่ 8 (วัตถุแข็งเกร็ง),Multiple Choice Problem,173,1
บทที่ 8: วัตถุแข็งเกร็ง,140,1,"Name: ผลคูณเชิงสเกลาร์ (ตอนที่ 2)<br>
Video Length: 303 sec",ผลคูณเชิงสเกลาร์ (ตอนที่ 2),303,22,1,แบบฝึกหัดท้ายบทที่ 3,53,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 9<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 9,Numerical Input Problem,197,1
บทที่ 9: การเคลื่อนที่แบบฮาร์มอนิกอย่างง่าย,178,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 1)<br>
Video Length: 455 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 1),455,23,1,เฉลยแบบฝึกหัดท้ายบทที่ 3,54,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 10 (พร้อมเฉลย)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 10 (พร้อมเฉลย),Numerical Input Problem,205,1
บทที่ 10: สภาพยืดหยุ่น,200,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 2)<br>
Video Length: 328 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 2),328,24,1,เอกสารประกอบการเรียนบทที่ 3,55,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 11<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 11,Numerical Input Problem,235,1
บทที่ 11: คลื่นกล,207,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 3)<br>
Video Length: 460 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 3),460,25,1,"กิจกรรม: Discussion ""ทำไมไม่ตกที่เดียวกัน""",77,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 12<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 12,Numerical Input Problem,253,1
บทที่ 12: กลศาสตร์ของไหล,238,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 4)<br>
Video Length: 336 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 4),336,26,1,แบบฝึกหัดท้ายบทที่ 4,78,1,,,,"Name: แบบฝึกหัดท้ายบทที่ 13 (อุณหพลศาสตร์)<br>
Problem Type: Numerical Input Problem",แบบฝึกหัดท้ายบทที่ 13 (อุณหพลศาสตร์),Numerical Input Problem,276,1
บทที่ 13: อุณหพลศาสตร์,256,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 5)<br>
Video Length: 415 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 5),415,27,1,เฉลยแบบฝึกหัดท้ายบทที่ 4,79,1,,,,"Name: แบบทดสอบความรู้หลังเรียนบทที่ 8 - 13<br>
Problem Type: Multiple Choice Problem",แบบทดสอบความรู้หลังเรียนบทที่ 8 - 13,Multiple Choice Problem,280,1
แบบทดสอบความรู้หลังเรียนบทที่ 8 - 13,279,1,"Name: ผลคูณเชิงเวกเตอร์ (ตอนที่ 6)<br>
Video Length: 309 sec",ผลคูณเชิงเวกเตอร์ (ตอนที่ 6),309,28,1,เอกสารประกอบการเรียนบทที่ 4-1,80,1,,,,,,,,
แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),282,1,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 1)<br>
Video Length: 421 sec",แคลคูลัสเบื้องต้น (ตอนที่ 1),421,29,1,เอกสารประกอบการเรียนบทที่ 4-2,81,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 2)<br>
Video Length: 408 sec",แคลคูลัสเบื้องต้น (ตอนที่ 2),408,30,1,แบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน),99,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 3)<br>
Video Length: 327 sec",แคลคูลัสเบื้องต้น (ตอนที่ 3),327,31,1,เฉลยแบบฝึกหัดท้ายบทที่ 5 (แรงและกฎการเคลื่อนที่ของนิวตัน),100,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 4)<br>
Video Length: 517 sec",แคลคูลัสเบื้องต้น (ตอนที่ 4),517,32,1,เอกสารประกอบการเรียนบทที่ 5,101,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 5)<br>
Video Length: 457 sec",แคลคูลัสเบื้องต้น (ตอนที่ 5),457,33,1,แบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน),118,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 6)<br>
Video Length: 168 sec",แคลคูลัสเบื้องต้น (ตอนที่ 6),168,34,1,เฉลยแบบฝึกหัดท้ายบทที่ 6 (งานและพลังงาน),119,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 7)<br>
Video Length: 263 sec",แคลคูลัสเบื้องต้น (ตอนที่ 7),263,35,1,เอกสารประกอบการเรียนบทที่ 6,120,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 8)<br>
Video Length: 293 sec",แคลคูลัสเบื้องต้น (ตอนที่ 8),293,36,1,แบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน),131,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 9)<br>
Video Length: 454 sec",แคลคูลัสเบื้องต้น (ตอนที่ 9),454,37,1,เฉลยแบบฝึกหัดท้ายบทที่ 7 (โมเมนตัมและการชน),132,1,,,,,,,,
,,,"Name: แคลคูลัสเบื้องต้น (ตอนที่ 10)<br>
Video Length: 510 sec",แคลคูลัสเบื้องต้น (ตอนที่ 10),510,38,1,เอกสารประกอบการเรียนบทที่ 7,133,1,,,,,,,,
,,,"Name: แนะนำบทที่ 3 และเวกเตอร์ตำแหน่ง<br>
Video Length: 454 sec",แนะนำบทที่ 3 และเวกเตอร์ตำแหน่ง,454,45,1,แบบทดสอบความรู้หลังเรียน บทที่ 1-7,135,1,,,,,,,,
,,,"Name: ระยะทางกับการกระจัด<br>
Video Length: 516 sec",ระยะทางกับการกระจัด,516,46,1,เฉลยแบบทดสอบความรู้หลังเรียน บทที่ 1-7,136,1,,,,,,,,
,,,"Name: เวกเตอร์ความเร็ว<br>
Video Length: 393 sec",เวกเตอร์ความเร็ว,393,47,1,แบบทดสอบความรู้ก่อนเรียน บทที่ 8-13,138,1,,,,,,,,
,,,"Name: อัตราเร็วกับความเร็ว<br>
Video Length: 198 sec",อัตราเร็วกับความเร็ว,198,48,1,เฉลยแบบทดสอบความรู้ก่อนเรียน บทที่ 8-13,139,1,,,,,,,,
,,,"Name: เวกเตอร์ความเร่ง<br>
Video Length: 121 sec",เวกเตอร์ความเร่ง,121,49,1,แบบฝึกหัดท้ายบทที่ 8 (วัตถุแข็งเกร็ง),173,1,,,,,,,,
,,,"Name: การเคลื่อนที่แนวเส้นตรงด้วยความเร่งคงที่ (ตอนที่ 1)<br>
Video Length: 187 sec",การเคลื่อนที่แนวเส้นตรงด้วยความเร่งคงที่ (ตอนที่ 1),187,50,1,เฉลยแบบฝึกหัดบทที่ 8 (วัตถุแข็งเกร็ง),174,1,,,,,,,,
,,,"Name: การเคลื่อนที่แนวเส้นตรงด้วยความเร่งคงที่ (ตอนที่ 2)<br>
Video Length: 564 sec",การเคลื่อนที่แนวเส้นตรงด้วยความเร่งคงที่ (ตอนที่ 2),564,51,1,เอกสารประกอบการเรียนบทที่ 8-1,175,1,,,,,,,,
,,,"Name: การเคลื่อนที่แนวเส้นตรงด้วยความเร่งไม่คงที่<br>
Video Length: 329 sec",การเคลื่อนที่แนวเส้นตรงด้วยความเร่งไม่คงที่,329,52,1,เอกสารประกอบการเรียนบทที่ 8-2,176,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์<br>
Video Length: 386 sec",การเคลื่อนที่แบบโพรเจกไทล์,386,57,1,เอกสารประกอบการเรียนบทที่ 8-3,177,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (ความเร็วและความเร่ง)<br>
Video Length: 414 sec",การเคลื่อนที่แบบโพรเจกไทล์ (ความเร็วและความเร่ง),414,58,1,แบบฝึกหัดท้ายบทที่ 9,197,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (การคำนวณการเคลื่อนที่ ตอนที่ 1)<br>
Video Length: 312 sec",การเคลื่อนที่แบบโพรเจกไทล์ (การคำนวณการเคลื่อนที่ ตอนที่ 1),312,59,1,เฉลยแบบฝึกหัดท้ายบทที่ 9,198,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (การคำนวณการเคลื่อนที่ ตอนที่ 2)<br>
Video Length: 345 sec",การเคลื่อนที่แบบโพรเจกไทล์ (การคำนวณการเคลื่อนที่ ตอนที่ 2),345,60,1,เอกสารประกอบการเรียน,199,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (วิถีการเคลื่อนที่)<br>
Video Length: 353 sec",การเคลื่อนที่แบบโพรเจกไทล์ (วิถีการเคลื่อนที่),353,61,1,เอกสารประกอบการเรียน,206,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (จุดสูงสุดของโพรเจกไทล์)<br>
Video Length: 333 sec",การเคลื่อนที่แบบโพรเจกไทล์ (จุดสูงสุดของโพรเจกไทล์),333,62,1,แบบฝึกหัดท้ายบทที่ 11,235,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (ระยะตกไกลสุดในแนวระดับ)<br>
Video Length: 528 sec",การเคลื่อนที่แบบโพรเจกไทล์ (ระยะตกไกลสุดในแนวระดับ),528,63,1,แบบฝึกหัดท้ายบทที่ 11,236,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบโพรเจกไทล์ (ตัวอย่างการเคลื่อนที่แบบโพรเจกไทล์)<br>
Video Length: 495 sec",การเคลื่อนที่แบบโพรเจกไทล์ (ตัวอย่างการเคลื่อนที่แบบโพรเจกไทล์),495,64,1,เอกสารประกอบการเรียน,237,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (การกระจัดเชิงมุม)<br>
Video Length: 528 sec",การเคลื่อนที่แบบวงกลม (การกระจัดเชิงมุม),528,65,1,แบบฝึกหัดท้ายบทที่ 12,253,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (ความเร็วและความเร่งเชิงมุม)<br>
Video Length: 473 sec",การเคลื่อนที่แบบวงกลม (ความเร็วและความเร่งเชิงมุม),473,66,1,เฉลยแบบฝึกหัดท้ายบทที่ 12,254,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (ความสัมพันธ์ระหว่างความเร็วเชิงมุมและเชิงเส้น)<br>
Video Length: 371 sec",การเคลื่อนที่แบบวงกลม (ความสัมพันธ์ระหว่างความเร็วเชิงมุมและเชิงเส้น),371,67,1,เอกสารประกอบการเรียน,255,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (ความเร่งสู่ศูนย์กลาง)<br>
Video Length: 317 sec",การเคลื่อนที่แบบวงกลม (ความเร่งสู่ศูนย์กลาง),317,68,1,แบบฝึกหัดท้ายบทที่ 13 (อุณหพลศาสตร์),276,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (พิสูจน์ความเร่งสู่ศูนย์กลาง)<br>
Video Length: 595 sec",การเคลื่อนที่แบบวงกลม (พิสูจน์ความเร่งสู่ศูนย์กลาง),595,69,1,เฉลยแบบฝึกหัดท้ายบทที่ 13 (อุณหพลศาสตร์),277,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (ความสัมพันธ์ระหว่างแรงกับความเร่งสู่ศูนย์กลาง)<br>
Video Length: 205 sec",การเคลื่อนที่แบบวงกลม (ความสัมพันธ์ระหว่างแรงกับความเร่งสู่ศูนย์กลาง),205,70,1,เอกสารประกอบการเรียนบทที่ 13,278,1,,,,,,,,
,,,"Name: การเคลื่อนที่แบบวงกลม (คาบและความถี่)<br>
Video Length: 162 sec",การเคลื่อนที่แบบวงกลม (คาบและความถี่),162,71,1,แบบทดสอบความรู้หลังเรียนบทที่ 8 - 13,280,1,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 1<br>
Video Length: 332 sec",ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 1,332,72,1,เฉลยแบบทดสอบความรู้หลังเรียนบทที่ 8 - 13,281,1,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 2<br>
Video Length: 240 sec",ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 2,240,73,1,แบบสำรวจหลังเรียนออนไลน์ในระบบไทยมูค (ThaiMOOC),283,1,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 3<br>
Video Length: 443 sec",ตัวอย่างการเคลื่อนที่แบบวงกลม ตอนที่ 3,443,74,1,,,,,,,,,,,
,,,"Name: ความเร็วสัมพัทธ์<br>
Video Length: 545 sec",ความเร็วสัมพัทธ์,545,75,1,,,,,,,,,,,
,,,"Name: ตัวอย่างความเร็วสัมพัทธ์<br>
Video Length: 556 sec",ตัวอย่างความเร็วสัมพัทธ์,556,76,1,,,,,,,,,,,
,,,"Name: Video<br>
Video Length: 16 sec",Video,16,77,1,,,,,,,,,,,
,,,"Name: แรงและการวัด<br>
Video Length: 522 sec",แรงและการวัด,522,83,1,,,,,,,,,,,
,,,"Name: แผนภาพอิสระ<br>
Video Length: 178 sec",แผนภาพอิสระ,178,84,1,,,,,,,,,,,
,,,"Name: กฎข้อที่ 1 ของนิวตัน<br>
Video Length: 284 sec",กฎข้อที่ 1 ของนิวตัน,284,85,1,,,,,,,,,,,
,,,"Name: กฎข้อที่ 2 ของนิวตัน<br>
Video Length: 232 sec",กฎข้อที่ 2 ของนิวตัน,232,86,1,,,,,,,,,,,
,,,"Name: กฎข้อที่ 3 ของนิวตัน<br>
Video Length: 257 sec",กฎข้อที่ 3 ของนิวตัน,257,87,1,,,,,,,,,,,
,,,"Name: แรงดึงดูดระหว่างวัตถุ<br>
Video Length: 564 sec",แรงดึงดูดระหว่างวัตถุ,564,88,1,,,,,,,,,,,
,,,"Name: แรงตั้งฉาก ตอนที่ 1<br>
Video Length: 182 sec",แรงตั้งฉาก ตอนที่ 1,182,89,1,,,,,,,,,,,
,,,"Name: แรงตั้งฉาก ตอนที่ 2<br>
Video Length: 521 sec",แรงตั้งฉาก ตอนที่ 2,521,90,1,,,,,,,,,,,
,,,"Name: แรงดึงเชือก<br>
Video Length: 417 sec",แรงดึงเชือก,417,91,1,,,,,,,,,,,
,,,"Name: แรงเสียดทาน ตอนที่ 1<br>
Video Length: 332 sec",แรงเสียดทาน ตอนที่ 1,332,92,1,,,,,,,,,,,
,,,"Name: แรงเสียดทาน ตอนที่ 2<br>
Video Length: 364 sec",แรงเสียดทาน ตอนที่ 2,364,93,1,,,,,,,,,,,
,,,"Name: แรงเสียดทาน ตอนที่ 3<br>
Video Length: 471 sec",แรงเสียดทาน ตอนที่ 3,471,94,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 1<br>
Video Length: 233 sec",ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 1,233,95,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 2<br>
Video Length: 271 sec",ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 2,271,96,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 3<br>
Video Length: 430 sec",ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 3,430,97,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 4<br>
Video Length: 437 sec",ตัวอย่างการประยุกต์ใช้กฎของนิวตัน ตอนที่ 4,437,98,1,,,,,,,,,,,
,,,"Name: รู้จักกับงานในทางฟิสิกส์<br>
Video Length: 426 sec",รู้จักกับงานในทางฟิสิกส์,426,103,1,,,,,,,,,,,
,,,"Name: ตัวอย่างงานในทางฟิสิกส์<br>
Video Length: 442 sec",ตัวอย่างงานในทางฟิสิกส์,442,104,1,,,,,,,,,,,
,,,"Name: งานที่เกิดจากการแปรค่า<br>
Video Length: 138 sec",งานที่เกิดจากการแปรค่า,138,105,1,,,,,,,,,,,
,,,"Name: ทฤษฎีบทงาน-พลังงานจลน์<br>
Video Length: 353 sec",ทฤษฎีบทงาน-พลังงานจลน์,353,106,1,,,,,,,,,,,
,,,"Name: ตัวอย่างงานและพลังงาน<br>
Video Length: 339 sec",ตัวอย่างงานและพลังงาน,339,107,1,,,,,,,,,,,
,,,"Name: งานจากแรงคืนตัวของสปริง ตอนที่ 1<br>
Video Length: 431 sec",งานจากแรงคืนตัวของสปริง ตอนที่ 1,431,108,1,,,,,,,,,,,
,,,"Name: งานจากแรงคืนตัวของสปริง ตอนที่ 2<br>
Video Length: 574 sec",งานจากแรงคืนตัวของสปริง ตอนที่ 2,574,109,1,,,,,,,,,,,
,,,"Name: งานจากแรงโน้มถ่วง<br>
Video Length: 450 sec",งานจากแรงโน้มถ่วง,450,110,1,,,,,,,,,,,
,,,"Name: งานจากแรงดึงดูดระหว่างมวล<br>
Video Length: 432 sec",งานจากแรงดึงดูดระหว่างมวล,432,111,1,,,,,,,,,,,
,,,"Name: กฎการอนุรักษ์พลังงาน ตอนที่ 1<br>
Video Length: 422 sec",กฎการอนุรักษ์พลังงาน ตอนที่ 1,422,112,1,,,,,,,,,,,
