chapter_name,chapter_indx,chapter_indy,video_name,name,length,video_indx,video_indy,html_name,html_indx,html_indy,discussion_name,discussion_indx,discussion_indy,problem_name,name,type,problem_indx,problem_indy
,,,"Name: กฎการอนุรักษ์พลังงาน ตอนที่ 2<br>
Video Length: 436 sec",กฎการอนุรักษ์พลังงาน ตอนที่ 2,436,113,1,,,,,,,,,,,
,,,"Name: กฎการอนุรักษ์พลังงาน ตอนที่ 3<br>
Video Length: 275 sec",กฎการอนุรักษ์พลังงาน ตอนที่ 3,275,114,1,,,,,,,,,,,
,,,"Name: แรงอนุรักษ์<br>
Video Length: 477 sec",แรงอนุรักษ์,477,115,1,,,,,,,,,,,
,,,"Name: ตัวอย่างแรงอนุรักษ์<br>
Video Length: 395 sec",ตัวอย่างแรงอนุรักษ์,395,116,1,,,,,,,,,,,
,,,"Name: กำลัง<br>
Video Length: 105 sec",กำลัง,105,117,1,,,,,,,,,,,
,,,"Name: แนะนำโมเมนตัม<br>
Video Length: 270 sec",แนะนำโมเมนตัม,270,122,1,,,,,,,,,,,
,,,"Name: นิยามการดล<br>
Video Length: 283 sec",นิยามการดล,283,123,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการดล<br>
Video Length: 414 sec",ตัวอย่างการดล,414,124,1,,,,,,,,,,,
,,,"Name: หลักการอนุรักษ์โมเมนตัม<br>
Video Length: 159 sec",หลักการอนุรักษ์โมเมนตัม,159,125,1,,,,,,,,,,,
,,,"Name: การชนกันแบบไม่ยืดหยุ่น ตอนที่ 1<br>
Video Length: 501 sec",การชนกันแบบไม่ยืดหยุ่น ตอนที่ 1,501,126,1,,,,,,,,,,,
,,,"Name: การชนกันแบบไม่ยืดหยุ่น ตอนที่ 2<br>
Video Length: 217 sec",การชนกันแบบไม่ยืดหยุ่น ตอนที่ 2,217,127,1,,,,,,,,,,,
,,,"Name: การชนกันแบบยืดหยุ่นใน 1 มิติ ตอนที่ 1<br>
Video Length: 476 sec",การชนกันแบบยืดหยุ่นใน 1 มิติ ตอนที่ 1,476,128,1,,,,,,,,,,,
,,,"Name: การชนกันแบบยืดหยุ่นใน 1 มิติ ตอนที่ 2<br>
Video Length: 404 sec",การชนกันแบบยืดหยุ่นใน 1 มิติ ตอนที่ 2,404,129,1,,,,,,,,,,,
,,,"Name: การชนกันแบบยืดหยุ่นใน 2 มิติ<br>
Video Length: 511 sec",การชนกันแบบยืดหยุ่นใน 2 มิติ,511,130,1,,,,,,,,,,,
,,,"Name: แนะนำวัตถุแข็งเกร็ง<br>
Video Length: 335 sec",แนะนำวัตถุแข็งเกร็ง,335,141,1,,,,,,,,,,,
,,,"Name: จุดศูนย์กลางมวลของระบบอนุภาค<br>
Video Length: 359 sec",จุดศูนย์กลางมวลของระบบอนุภาค,359,142,1,,,,,,,,,,,
,,,"Name: จุดศูนย์กลางมวลของวัตถุแข็งเกร็ง (ตอนที่ 1)<br>
Video Length: 307 sec",จุดศูนย์กลางมวลของวัตถุแข็งเกร็ง (ตอนที่ 1),307,143,1,,,,,,,,,,,
,,,"Name: จุดศูนย์กลางมวลของวัตถุแข็งเกร็ง (ตอนที่ 2)<br>
Video Length: 380 sec",จุดศูนย์กลางมวลของวัตถุแข็งเกร็ง (ตอนที่ 2),380,144,1,,,,,,,,,,,
,,,"Name: ทอร์ก - สมการของทอร์ก (ตอนที่ 1)<br>
Video Length: 526 sec",ทอร์ก - สมการของทอร์ก (ตอนที่ 1),526,145,1,,,,,,,,,,,
,,,"Name: ทอร์ก - สมการของทอร์ก (ตอนที่ 2)<br>
Video Length: 485 sec",ทอร์ก - สมการของทอร์ก (ตอนที่ 2),485,146,1,,,,,,,,,,,
,,,"Name: ทอร์ก - แรงคู่ควบ<br>
Video Length: 172 sec",ทอร์ก - แรงคู่ควบ,172,147,1,,,,,,,,,,,
,,,"Name: สมดุล (ตอนที่ 1)<br>
Video Length: 327 sec",สมดุล (ตอนที่ 1),327,148,1,,,,,,,,,,,
,,,"Name: สมดุล (ตอนที่ 2)<br>
Video Length: 441 sec",สมดุล (ตอนที่ 2),441,149,1,,,,,,,,,,,
,,,"Name: สมดุล (ตอนที่ 3)<br>
Video Length: 343 sec",สมดุล (ตอนที่ 3),343,150,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของระบบอนุภาค (ตอนที่ 1)<br>
Video Length: 322 sec",โมเมนต์ความเฉื่อยของระบบอนุภาค (ตอนที่ 1),322,151,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของระบบอนุภาค (ตอนที่ 2)<br>
Video Length: 305 sec",โมเมนต์ความเฉื่อยของระบบอนุภาค (ตอนที่ 2),305,152,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 1)<br>
Video Length: 558 sec",โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 1),558,153,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 2)<br>
Video Length: 215 sec",โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 2),215,154,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 3)<br>
Video Length: 420 sec",โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 3),420,155,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 4)<br>
Video Length: 398 sec",โมเมนต์ความเฉื่อยของวัตถุแข็งเกร็ง (ตอนที่ 4),398,156,1,,,,,,,,,,,
,,,"Name: ทฤษฎีแกนตั้งฉาก และแกนขนาน<br>
Video Length: 332 sec",ทฤษฎีแกนตั้งฉาก และแกนขนาน,332,157,1,,,,,,,,,,,
,,,"Name: โมเมนต์ความเฉื่อยของวัตถุแหว่ง<br>
Video Length: 427 sec",โมเมนต์ความเฉื่อยของวัตถุแหว่ง,427,158,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการใช้โมเมนต์ความเฉื่อย<br>
Video Length: 499 sec",ตัวอย่างการใช้โมเมนต์ความเฉื่อย,499,159,1,,,,,,,,,,,
,,,"Name: พลังงานจลน์ งาน และการหมุน (ตอนที่ 1)<br>
Video Length: 443 sec",พลังงานจลน์ งาน และการหมุน (ตอนที่ 1),443,160,1,,,,,,,,,,,
,,,"Name: พลังงานจลน์ งาน และการหมุน (ตอนที่ 2)<br>
Video Length: 494 sec",พลังงานจลน์ งาน และการหมุน (ตอนที่ 2),494,161,1,,,,,,,,,,,
,,,"Name: พลังงานจลน์ งาน และการหมุน (ตอนที่ 3)<br>
Video Length: 304 sec",พลังงานจลน์ งาน และการหมุน (ตอนที่ 3),304,162,1,,,,,,,,,,,
,,,"Name: การกลิ้งโดยไม่ไถล (ตอนที่ 1)<br>
Video Length: 400 sec",การกลิ้งโดยไม่ไถล (ตอนที่ 1),400,163,1,,,,,,,,,,,
,,,"Name: การกลิ้งโดยไม่ไถล (ตอนที่ 2)<br>
Video Length: 595 sec",การกลิ้งโดยไม่ไถล (ตอนที่ 2),595,164,1,,,,,,,,,,,
,,,"Name: การกลิ้งโดยไม่ไถล (ตอนที่ 3)<br>
Video Length: 445 sec",การกลิ้งโดยไม่ไถล (ตอนที่ 3),445,165,1,,,,,,,,,,,
,,,"Name: โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 1)<br>
Video Length: 389 sec",โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 1),389,166,1,,,,,,,,,,,
,,,"Name: โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 2)<br>
Video Length: 462 sec",โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 2),462,167,1,,,,,,,,,,,
,,,"Name: โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 3)<br>
Video Length: 342 sec",โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 3),342,168,1,,,,,,,,,,,
,,,"Name: โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 4)<br>
Video Length: 522 sec",โมเมนตัมเชิงมุม และการอนุรักษ์ (ตอนที่ 4),522,169,1,,,,,,,,,,,
,,,"Name: ไจโรสโคป และลูกข่าง (ตอนที่ 1)<br>
Video Length: 461 sec",ไจโรสโคป และลูกข่าง (ตอนที่ 1),461,170,1,,,,,,,,,,,
,,,"Name: ไจโรสโคป และลูกข่าง (ตอนที่ 2)<br>
Video Length: 403 sec",ไจโรสโคป และลูกข่าง (ตอนที่ 2),403,171,1,,,,,,,,,,,
,,,"Name: ไจโรสโคป และลูกข่าง - ตัวอย่าง<br>
Video Length: 442 sec",ไจโรสโคป และลูกข่าง - ตัวอย่าง,442,172,1,,,,,,,,,,,
,,,"Name: ลักษณะการเคลื่อนที่แบบ S.H.M<br>
Video Length: 290 sec",ลักษณะการเคลื่อนที่แบบ S.H.M,290,179,1,,,,,,,,,,,
,,,"Name: สมการการกระจัดของการเคลื่อนที่แบบ S.H.M.<br>
Video Length: 574 sec",สมการการกระจัดของการเคลื่อนที่แบบ S.H.M.,574,180,1,,,,,,,,,,,
,,,"Name: การเคลื่อนที่วงกลม กับ การเคลื่อนที่แบบ S.H.M.<br>
Video Length: 465 sec",การเคลื่อนที่วงกลม กับ การเคลื่อนที่แบบ S.H.M.,465,181,1,,,,,,,,,,,
,,,"Name: สมการความเร็วและความเร่ง ของการเคลื่อนที่แบบ S.H.M.<br>
Video Length: 599 sec",สมการความเร็วและความเร่ง ของการเคลื่อนที่แบบ S.H.M.,599,182,1,,,,,,,,,,,
,,,"Name: กราฟการกระจัด ความเร็ว ความเร่ง ของการเคลื่อนที่แบบ S.H.M. (ตอนที่ 1)<br>
Video Length: 482 sec",กราฟการกระจัด ความเร็ว ความเร่ง ของการเคลื่อนที่แบบ S.H.M. (ตอนที่ 1),482,183,1,,,,,,,,,,,
,,,"Name: กราฟการกระจัด ความเร็ว ความเร่ง ของการเคลื่อนที่แบบ S.H.M. (ตอนที่ 2)<br>
Video Length: 311 sec",กราฟการกระจัด ความเร็ว ความเร่ง ของการเคลื่อนที่แบบ S.H.M. (ตอนที่ 2),311,184,1,,,,,,,,,,,
,,,"Name: สมการมูลฐานของการเคลื่อนที่แบบ S.H.M.<br>
Video Length: 301 sec",สมการมูลฐานของการเคลื่อนที่แบบ S.H.M.,301,185,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 1<br>
Video Length: 471 sec",ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 1,471,186,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 2<br>
Video Length: 394 sec",ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 2,394,187,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 3<br>
Video Length: 391 sec",ตัวอย่างการเคลื่อนที่แบบ S.H.M. ตอนที่ 3,391,188,1,,,,,,,,,,,
,,,"Name: งานและพลังงานจากการเคลื่อนที่แบบ S.H.M.<br>
Video Length: 568 sec",งานและพลังงานจากการเคลื่อนที่แบบ S.H.M.,568,189,1,,,,,,,,,,,
,,,"Name: ตัวอย่างงานและพลังงานจากการเคลื่อนที่แบบ S.H.M. ตอนที่ 1<br>
Video Length: 309 sec",ตัวอย่างงานและพลังงานจากการเคลื่อนที่แบบ S.H.M. ตอนที่ 1,309,190,1,,,,,,,,,,,
,,,"Name: ตัวอย่างงานและพลังงานจากการเคลื่อนที่แบบ S.H.M. ตอนที่ 2<br>
Video Length: 481 sec",ตัวอย่างงานและพลังงานจากการเคลื่อนที่แบบ S.H.M. ตอนที่ 2,481,191,1,,,,,,,,,,,
,,,"Name: ลูกตุ้มนาฬิกาอย่างง่าย<br>
Video Length: 500 sec",ลูกตุ้มนาฬิกาอย่างง่าย,500,192,1,,,,,,,,,,,
,,,"Name: ลูกตุ้มนาฬิกาฟิสิกัล<br>
Video Length: 339 sec",ลูกตุ้มนาฬิกาฟิสิกัล,339,193,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 1<br>
Video Length: 477 sec",ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 1,477,194,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 2-1<br>
Video Length: 526 sec",ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 2-1,526,195,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 2-2<br>
Video Length: 196 sec",ตัวอย่างการเคลื่อนที่แบบลูกตุ้มนาฬิกา ตอนที่ 2-2,196,196,1,,,,,,,,,,,
,,,"Name: ความเค้นและความเครียด ตอนที่ 1<br>
Video Length: 321 sec",ความเค้นและความเครียด ตอนที่ 1,321,201,1,,,,,,,,,,,
,,,"Name: ความเค้นและความเครียด ตอนที่ 2<br>
Video Length: 350 sec",ความเค้นและความเครียด ตอนที่ 2,350,202,1,,,,,,,,,,,
,,,"Name: สภาพยืดหยุ่นในของไหล<br>
Video Length: 490 sec",สภาพยืดหยุ่นในของไหล,490,203,1,,,,,,,,,,,
,,,"Name: พลังงานศักย์สะสมในการดึงวัสดุยืดหยุ่น<br>
Video Length: 463 sec",พลังงานศักย์สะสมในการดึงวัสดุยืดหยุ่น,463,204,1,,,,,,,,,,,
,,,"Name: แนะนำคลื่นกล<br>
Video Length: 472 sec",แนะนำคลื่นกล,472,208,1,,,,,,,,,,,
,,,"Name: ลักษณะของคลื่น<br>
Video Length: 328 sec",ลักษณะของคลื่น,328,209,1,,,,,,,,,,,
,,,"Name: ฟังก์ชันคลื่น<br>
Video Length: 524 sec",ฟังก์ชันคลื่น,524,210,1,,,,,,,,,,,
,,,"Name: ตัวอย่างฟังก์ชันคลื่น<br>
Video Length: 247 sec",ตัวอย่างฟังก์ชันคลื่น,247,211,1,,,,,,,,,,,
,,,"Name: ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 1<br>
Video Length: 413 sec",ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 1,413,212,1,,,,,,,,,,,
,,,"Name: ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 2<br>
Video Length: 213 sec",ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 2,213,213,1,,,,,,,,,,,
,,,"Name: ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 3<br>
Video Length: 302 sec",ฟังก์ชันคลื่นรูปไซน์ ตอนที่ 3,302,214,1,,,,,,,,,,,
,,,"Name: ความเร็วและความเร่งตามขวางของคลื่นรูปไซน์<br>
Video Length: 372 sec",ความเร็วและความเร่งตามขวางของคลื่นรูปไซน์,372,215,1,,,,,,,,,,,
,,,"Name: ตัวอย่างความเร็วและความเร่งตามขวางของคลื่นรูปไซน์<br>
Video Length: 402 sec",ตัวอย่างความเร็วและความเร่งตามขวางของคลื่นรูปไซน์,402,216,1,,,,,,,,,,,
,,,"Name: อัตราเร็วของคลื่นในตัวกลางชนิดต่างๆ<br>
Video Length: 260 sec",อัตราเร็วของคลื่นในตัวกลางชนิดต่างๆ,260,217,1,,,,,,,,,,,
,,,"Name: อัตราเร็วของคลื่นเสียงในอากาศ<br>
Video Length: 535 sec",อัตราเร็วของคลื่นเสียงในอากาศ,535,218,1,,,,,,,,,,,
,,,"Name: ตัวอย่างอัตราเร็วของคลื่นในตัวกลางต่างๆ ตอนที่ 1<br>
Video Length: 584 sec",ตัวอย่างอัตราเร็วของคลื่นในตัวกลางต่างๆ ตอนที่ 1,584,219,1,,,,,,,,,,,
,,,"Name: ตัวอย่างอัตราเร็วของคลื่นในตัวกลางต่างๆ ตอนที่ 2<br>
Video Length: 235 sec",ตัวอย่างอัตราเร็วของคลื่นในตัวกลางต่างๆ ตอนที่ 2,235,220,1,,,,,,,,,,,
,,,"Name: สมการมูลฐานของคลื่น<br>
Video Length: 210 sec",สมการมูลฐานของคลื่น,210,221,1,,,,,,,,,,,
,,,"Name: คลื่นนิ่งในเส้นเชือก<br>
Video Length: 514 sec",คลื่นนิ่งในเส้นเชือก,514,222,1,,,,,,,,,,,
,,,"Name: สมการคลื่นนิ่ง<br>
Video Length: 518 sec",สมการคลื่นนิ่ง,518,223,1,,,,,,,,,,,
,,,"Name: คลื่นเสียงและท่อออร์แกน ตอนที่ 1<br>
Video Length: 559 sec",คลื่นเสียงและท่อออร์แกน ตอนที่ 1,559,224,1,,,,,,,,,,,
,,,"Name: คลื่นเสียงและท่อออร์แกน ตอนที่ 2<br>
Video Length: 456 sec",คลื่นเสียงและท่อออร์แกน ตอนที่ 2,456,225,1,,,,,,,,,,,
,,,"Name: เฟสระหว่างความดันและการกระจัดของคลื่นเสียง<br>
Video Length: 397 sec",เฟสระหว่างความดันและการกระจัดของคลื่นเสียง,397,226,1,,,,,,,,,,,
,,,"Name: ความเข้มเสียงและระดับความเข้มเสียง<br>
Video Length: 367 sec",ความเข้มเสียงและระดับความเข้มเสียง,367,227,1,,,,,,,,,,,
,,,"Name: ความเข้มเสียงกับระยะทาง<br>
Video Length: 216 sec",ความเข้มเสียงกับระยะทาง,216,228,1,,,,,,,,,,,
,,,"Name: บีตส์ ตอนที่ 1<br>
Video Length: 508 sec",บีตส์ ตอนที่ 1,508,229,1,,,,,,,,,,,
,,,"Name: บีตส์ ตอนที่ 2<br>
Video Length: 550 sec",บีตส์ ตอนที่ 2,550,230,1,,,,,,,,,,,
,,,"Name: ปรากฎการณ์ดอปเพลอร์ ตอนที่ 1<br>
Video Length: 562 sec",ปรากฎการณ์ดอปเพลอร์ ตอนที่ 1,562,231,1,,,,,,,,,,,
,,,"Name: ปรากฎการณ์ดอปเพลอร์ ตอนที่ 2<br>
Video Length: 445 sec",ปรากฎการณ์ดอปเพลอร์ ตอนที่ 2,445,232,1,,,,,,,,,,,
,,,"Name: ปรากฎการณ์ดอปเพลอร์ ตอนที่ 3<br>
Video Length: 215 sec",ปรากฎการณ์ดอปเพลอร์ ตอนที่ 3,215,233,1,,,,,,,,,,,
,,,"Name: ตัวอย่างการประยุกต์ปรากฎการณ์ดอปเพลอร์<br>
Video Length: 358 sec",ตัวอย่างการประยุกต์ปรากฎการณ์ดอปเพลอร์,358,234,1,,,,,,,,,,,
,,,"Name: นิยามของไหล<br>
Video Length: 239 sec",นิยามของไหล,239,239,1,,,,,,,,,,,
,,,"Name: ความดันของของไหล<br>
Video Length: 359 sec",ความดันของของไหล,359,240,1,,,,,,,,,,,
,,,"Name: กฎของพาสคัล<br>
Video Length: 226 sec",กฎของพาสคัล,226,241,1,,,,,,,,,,,
,,,"Name: เครื่องกลไฮดรอลิก<br>
Video Length: 216 sec",เครื่องกลไฮดรอลิก,216,242,1,,,,,,,,,,,
,,,"Name: แรงลอยตัว<br>
Video Length: 420 sec",แรงลอยตัว,420,243,1,,,,,,,,,,,
,,,"Name: แรงลอยตัว ตอนที่ 2<br>
Video Length: 246 sec",แรงลอยตัว ตอนที่ 2,246,244,1,,,,,,,,,,,
,,,"Name: การประยุกต์แรงลอยตัวกับความดัน<br>
Video Length: 434 sec",การประยุกต์แรงลอยตัวกับความดัน,434,245,1,,,,,,,,,,,
,,,"Name: นิยามพลศาสตร์ของไหล<br>
Video Length: 241 sec",นิยามพลศาสตร์ของไหล,241,246,1,,,,,,,,,,,
,,,"Name: สมการความต่อเนื่องของของไหล<br>
Video Length: 483 sec",สมการความต่อเนื่องของของไหล,483,247,1,,,,,,,,,,,
,,,"Name: สมการแบร์นูลลี ตอนที่ 1<br>
Video Length: 602 sec",สมการแบร์นูลลี ตอนที่ 1,602,248,1,,,,,,,,,,,
,,,"Name: สมการแบร์นูลลี ตอนที่ 2<br>
Video Length: 344 sec",สมการแบร์นูลลี ตอนที่ 2,344,249,1,,,,,,,,,,,
,,,"Name: มาตรวัดเวนจูรี<br>
Video Length: 433 sec",มาตรวัดเวนจูรี,433,250,1,,,,,,,,,,,
,,,"Name: การประยุกต์ใช้สมการแบร์นูลลี ตอนที่ 1<br>
Video Length: 521 sec",การประยุกต์ใช้สมการแบร์นูลลี ตอนที่ 1,521,251,1,,,,,,,,,,,
,,,"Name: การประยุกต์ใช้สมการแบร์นูลลี ตอนที่ 2<br>
Video Length: 327 sec",การประยุกต์ใช้สมการแบร์นูลลี ตอนที่ 2,327,252,1,,,,,,,,,,,
,,,"Name: การขยายตัวเนื่องจากความร้อน ตอนที่ 1<br>
Video Length: 523 sec",การขยายตัวเนื่องจากความร้อน ตอนที่ 1,523,257,1,,,,,,,,,,,
,,,"Name: การขยายตัวเนื่องจากความร้อน ตอนที่ 2<br>
Video Length: 539 sec",การขยายตัวเนื่องจากความร้อน ตอนที่ 2,539,258,1,,,,,,,,,,,
,,,"Name: กฎของแก๊ส ตอนที่ 1<br>
Video Length: 376 sec",กฎของแก๊ส ตอนที่ 1,376,259,1,,,,,,,,,,,
,,,"Name: กฎของแก๊ส ตอนที่ 2<br>
Video Length: 452 sec",กฎของแก๊ส ตอนที่ 2,452,260,1,,,,,,,,,,,
,,,"Name: พลังงานภายในของแก๊ส ตอนที่ 1<br>
Video Length: 572 sec",พลังงานภายในของแก๊ส ตอนที่ 1,572,261,1,,,,,,,,,,,
,,,"Name: พลังงานภายในของแก๊ส ตอนที่ 2<br>
Video Length: 115 sec",พลังงานภายในของแก๊ส ตอนที่ 2,115,262,1,,,,,,,,,,,
,,,"Name: กฎข้อที่ 1 ของอุณหพลศาสตร์<br>
Video Length: 388 sec",กฎข้อที่ 1 ของอุณหพลศาสตร์,388,263,1,,,,,,,,,,,
,,,"Name: กระบวนการทางอุณพลศาสตร์ (ปริมาตรคงที่)<br>
Video Length: 539 sec",กระบวนการทางอุณพลศาสตร์ (ปริมาตรคงที่),539,264,1,,,,,,,,,,,
,,,"Name: กระบวนการทางอุณพลศาสตร์ (ความดันคงที่)<br>
Video Length: 248 sec",กระบวนการทางอุณพลศาสตร์ (ความดันคงที่),248,265,1,,,,,,,,,,,
,,,"Name: กระบวนการทางอุณพลศาสตร์ (อุณหภูมิคงที่)<br>
Video Length: 123 sec",กระบวนการทางอุณพลศาสตร์ (อุณหภูมิคงที่),123,266,1,,,,,,,,,,,
,,,"Name: Video<br>
Video Length: 504 sec",Video,504,267,1,,,,,,,,,,,
,,,"Name: แบบฝึกหัดกระบวนการทางอุณพลศาสตร์ ตอนที่ 1<br>
Video Length: 504 sec",แบบฝึกหัดกระบวนการทางอุณพลศาสตร์ ตอนที่ 1,504,268,1,,,,,,,,,,,
,,,"Name: แบบฝึกหัดกระบวนการทางอุณพลศาสตร์ ตอนที่ 2<br>
Video Length: 472 sec",แบบฝึกหัดกระบวนการทางอุณพลศาสตร์ ตอนที่ 2,472,269,1,,,,,,,,,,,
,,,"Name: วัฏจักรคาร์โนท์ ตอนที่ 1<br>
Video Length: 413 sec",วัฏจักรคาร์โนท์ ตอนที่ 1,413,270,1,,,,,,,,,,,
,,,"Name: วัฏจักรคาร์โนท์ ตอนที่ 2<br>
Video Length: 494 sec",วัฏจักรคาร์โนท์ ตอนที่ 2,494,271,1,,,,,,,,,,,
,,,"Name: วัฏจักรคาร์โนท์ ตอนที่ 3<br>
Video Length: 528 sec",วัฏจักรคาร์โนท์ ตอนที่ 3,528,272,1,,,,,,,,,,,
,,,"Name: วัฏจักรคาร์โนท์ ตอนที่ 4<br>
Video Length: 563 sec",วัฏจักรคาร์โนท์ ตอนที่ 4,563,273,1,,,,,,,,,,,
,,,"Name: วัฏจักรคาร์โนท์ ตอนที่ 5<br>
Video Length: 358 sec",วัฏจักรคาร์โนท์ ตอนที่ 5,358,274,1,,,,,,,,,,,
,,,"Name: วัฏจักรออดโต<br>
Video Length: 479 sec",วัฏจักรออดโต,479,275,1,,,,,,,,,,,